Reference,Title,GEO Accession Number,DOI,Publication Year,Journal,Cell Line,Number of Cell Lines,Cell Line Sex,Cell Line Ancestry,hiPSC Matrix Coating,hiPSC Backbone Media,Seeding Confluency (%),hiPSC-CM Backbone Media,hiPSC-CM Media Supplements,Wnt Activator,Time of Wnt Activator (Start Day - End Day),Wnt Inhibitor,Time of Wnt Inhibitor (Start Day - End Day),Purification Protocol,Time of hiPSC-CM Purification (Start Day - End Day),Method to Assess Differentiation Purity,Differentiation Purity (%),hiPSC-CM Maintenance/Maturation Media (if different),hiPSC-CM Matrix Coating if Replated,Metabolic Maturation Technique,Metabolic Components,Metabolic Maturation Technique,Tension Maturation Technique,Other Cells Maturation Technique,Mechanical Maturation Technique,Cell Alignment Maturation Technique,Elastomeric Maturation Technique,ECM Maturation Technique,2D Surface,3D Platform,3D Cell Types,3D Stromal Cell Source,3D: Types of Endothelial Cell (EC) ,3D Tissue Media,3D Estimated Cell Density (mil cells/mL),3D Estimated Tissue Size (mm2),Immunofluorescent Imaging,Election Microscopy,Sarcomere/Cellular Alignment Analysis,Sarcomere Length (um),hiPSC-CM Cell Area (um2),T-tubule Observation,Contractile Analysis Method,Contractile Force (mN),Contractile Stress (mN/mm2),Contraction Upstroke Velocity (um/s),Calcium Handling Analysis Method,Calcium Flux Amplitude (F/F0),Beat Rate (bpm),Time to Calcium Flux Peak (ms),Time from Calcium Peak to Relaxation (ms),Conduction Velocity (cm/s),Electrophysiology Analysis Method,Action Potential Conduction Velocity (cm/s),Action Potential Amplitude (mV),Resting Membrane Potential (mV),Max Capture Rate of Paced CMs (Hz),Metabolic Analysis Method,Fatty Acid Metabolism Measured,Gene Analysis Method,Pharmacological Interventions,Disease Modelling,MYH7 Percentage (MYH6),MYL2 Precentage (MYL7),TNNI3 Precentage (TNNI1),Deduced Culture Strategy,Seeding Confluency 2D (%),Seeding Confluency 3D (%),Wnt Induction Duration (days),Wnt Induction Duration (days) Quantiles,Wnt Inhibitor Duration (days),Wnt Inhibitor Duration (days) Quantiles,Insulin Start Day,Insulin Withdrawal Duration (days),Insulin Withdrawal Duration (days) Quantiles,hiPSC-CM Purification Duration (days),hiPSC-CM Purification Duration (days) Quantiles,Differentiation Purity (%) Quantiles,hiPSC-CM Maintenance/Maturation Media,3D CM Ratio (CM-EC-SC),3D CM Ratio (CM-EC-SC) Quantiles,3D EC Ratio (CM-EC-SC),3D EC Ratio (CM-EC-SC) Quantiles,3D SC Ratio (CM-EC-SC),3D SC Ratio (CM-EC-SC) Quantiles,3D Estimated Cell Density (mil cells/mL) Quantiles,3D Estimated Tissue Size (mm2) Quantiles,Sarcomere Length (um) Quantiles,Cell Area (um2) Quantiles,Contractile Force (mN) Quantiles,Contractile Stress (mN/mm2) Quantiles,Contraction Upstroke Velocity (um/s) Quantiles,Calcium Flux Amplitude (F/F0) Quantiles,Beat Rate (bpm) Quantiles,Time to Calcium Flux Peak (ms) Quantiles,Time from Calcium Peak to Relaxation (ms) Quantiles,Conduction Velocity from Calcium Imaging (cm/s) Quantiles,Action Potential Conduction Velocity (cm/s) Quantiles,Action Potential Amplitude (mV) Quantiles,Resting Membrane Potential (mV) Quantiles,Max Capture Rate of Paced CMs (Hz) Quantiles,MYH7 Percentage (MYH6) Quantiles,MYL2 Precentage (MYL7) Quantiles,TNNI3 Precentage (TNNI1) Quantiles
"Zhang, K. et al. Plakophilin-2 truncating variants impair cardiac contractility by disrupting sarcomere stability and organization. Sci. Adv 7, (2021). ", Plakophilin-2 truncating variants impair cardiac contractility by disrupting sarcomere stability and organization,,https://doi.org/10.1126/sciadv.abh3995,2021," Sci. Adv 7, (2021)","PGP1, WTC11",2,"Male, Male","Caucasian, Asian",Matrigel,mTeSR-1,,RPMI-1640,B27,CHIR99021,0-1,IWP4,3-May,No glucose with lactate,Sep-13,,,,Fibronectin,,,,Yes,Yes,,Yes,Yes,,ECM-coated plastic/glass,Fibrin + matrigel,CM + SC,hMSC,,"High,glucose,DMEM,FBS,NEAAs,GlutaMax",8,7.5,Yes,,Yes,,,,TFM; Post deflection,0.08,0.28,,,,,,,,Genetically encoded sensor,,,,,,,PCR,,ACM,,,,2D and 3D,,,1,Q3,2,Q2,13,,,4,Q2,,RPMI-1640,90,Q2,0,Q2,10,Q2,Q3,Q3,,,Q4,Q4,,,,,,,,,,,,,
"Zhang, L. et al. Derivation and high engraftment of patient-specific cardiomyocyte sheet using induced pluripotent stem cells generated from adult cardiac fibroblast. Circ Heart Fail 8, 156166 (2015).", Derivation and high engraftment of patient-specific cardiomyocyte sheet using induced pluripotent stem cells generated from adult cardiac fibroblast,,https://doi.org/10.1161/CIRCHEARTFAILURE.114.001317,2015," Circ Heart Fail 8, 156166 (2015)",in-house,3,,,Matrigel,mTeSR-1,,RPMI-1640,B27,Activin A,0-1,"BMP4, bFGF",1-May,,,Flow cytometry for cTnT+,90,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,Dye,,,,,,,,,,,,,PCR,,,,,,2D Only,,,1,Q3,4,Q1,5,,,,,Q3,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, M. et al. Universal cardiac induction of human pluripotent stem cells in two and three-dimensional formats: Implications for in vitro maturation. Stem Cells 33, 14561469 (2015).", Universal cardiac induction of human pluripotent stem cells in two and three-dimensional formats: Implications for in vitro maturation,,https://doi.org/10.1002/stem.1964,2015," Stem Cells 33, 14561469 (2015)",in-house,3,,,Matrigel,FTDA,100,APEL medium,,"CHIR99021, BMP4",0-1,IWP2,2-Mar,,,,,,"Matrigel, Gelatin",,,,,,,,,,ECM-coated plastic/glass,Scaffold free,CM,,,"APEL,medium",,0.28,Yes,TEM,,,,,,,,,,,,,,,,,,,,,,PCR,,,,,,2D and 3D,,,1,Q3,1,Q3,,,,,,,APEL medium,100,Q1,0,Q2,0,Q3,,Q4,,,,,,,,,,,,,,,,,
"Zhang, Y. S. et al. Bioprinting 3D microfibrous scaffolds for engineering endothelialized myocardium and heart-on-a-chip. Biomaterials 110, 4559 (2016).", Bioprinting 3D microfibrous scaffolds for engineering endothelialized myocardium and heart-on-a-chip,,https://doi.org/10.1016/j.biomaterials.2016.09.003,2016," Biomaterials 110, 4559 (2016)",Stem Cell Theranostics CMs,1,,,,,,RPMI-1640,B27,,,,,,,,,,,,,,,Yes,Flow,Yes,,,,"gelMA+alginate, 3D printing",CM + EC,,HUVEC,"RPMI,1640,B27",11,19.25,Yes,,Yes,,,,Motion tracking analysis,,,,,,40,,,,,,,,,,,,doxorubicin,,,,,3D Only,,,1,Q3,1,Q3,,,,,,,RPMI-1640,9,Q3,91,Q1,0,Q3,Q2,Q2,,,,,,,Q3,,,,,,,,,,
"Zhao, Y. et al. A Platform for Generation of Chamber-Specific Cardiac Tissues and Disease Modeling. Cell 176, 913-927.e18 (2019).", A Platform for Generation of Chamber-Specific Cardiac Tissues and Disease Modeling,GSE122661,https://doi.org/10.1016/j.cell.2018.11.042,2019," Cell 176, 913-927.e18 (2019)","BJ1, C2A, iCell, iCell2, CDI(3)",7,"Male, NaN, NaN, NaN, Female","NaN, NaN, NaN, NaN, Caucasian",Matrigel,mTeSR-1,"100,EB",RPMI-1640,B27,"Activin A, BMP4, CHIR99021",0-1,IWP2 or IWP4,3-May,,,Flow cytometry for cTnT+,75,,Matrigel,,,Yes,Yes,Yes,,,,,,Collagen + matrigel,CM + SC,hCF,,,50,1.7,Yes,TEM,,,,,Post deflection,2.6,23.2,,Dye,0.08,,290,,,Optical mapping,32,100,-65,,,,,"E4031, isoproterenol, milrinone, diltiazem, lidocaine, nifedipine, thapsigargin",Hypertension/left ventricular hypertrophy,,,,3D Only,,,1,Q3,2,Q2,7,,,,,Q5,RPMI-1640,91,Q2,0,Q2,9,Q2,Q1,Q4,,,Q1,Q1,,Q5,,Q2,,,Q1,Q3,Q4,,,,
"Zhao, Y. et al. Engineering microenvironment for human cardiac tissue assembly in heart-on-a-chip platform. Matrix Biology 8586, 189204 (2020).", Engineering microenvironment for human cardiac tissue assembly in heart-on-a-chip platform,,https://doi.org/10.1016/j.matbio.2019.04.001,2020," Matrix Biology 8586, 189204 (2020)",BJ1,1,Male,,Matrigel,mTeSR-1,85,RPMI-1640,B27,CHIR99021,0-1,IWP2,3-May,,,Flow cytometry for cTnT+,75,,Matrigel,,,Yes,Yes,Yes,,,,,,Collagen + fibrin + matrigel,CM + SC,hCF,,,50,2.5,Yes,,Yes,,,,Post deflection,,,,,,,,,,Patch clamp,,,,5,,,,,,,,,3D Only,,,1,Q3,2,Q2,7,,,,,Q5,RPMI-1640,91,Q2,0,Q2,9,Q2,Q1,Q3,,,,,,,,,,,,,,Q1,,,
"Ziegler, N. et al. AMPKb1 and AMPKb2 define an isoform-specific gene signature in human pluripotent stem cells, differentially mediating cardiac lineage specification. Journal of Biological Chemistry 295, 1765917671 (2020)."," AMPKb1 and AMPKb2 define an isoform-specific gene signature in human pluripotent stem cells, differentially mediating cardiac lineage specification",,https://doi.org/10.1074/jbc.RA120.013990,2020," Journal of Biological Chemistry 295, 1765917671 (2020)",ASE-9202,1,,,Matrigel,mTeSR Plus,,STEMdiff Cardiomyocyte Support Medium,,StemCell Differentiation kit,0-4,,6-Aug,No glucose with lactate,10-Dec,Western blot for cTnT,30,,Matrigel,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Metabolic flux,Yes,"RNA-seq, PCR",,,,,,2D Only,,,4,Q1,2,Q2,8,,,2,Q2,Q5,STEMdiff Cardiomyocyte Support Medium,,,,,,,,,,,,,,,,,,,,,,,,,
"Zuppinger, C. et al. Characterization of cytoskeleton features and maturation status of cultured human iPSC-derived cardiomyocytes. European Journal of Histochemistry 61, 145153 (2017).", Characterization of cytoskeleton features and maturation status of cultured human iPSC-derived cardiomyocytes,,https://doi.org/10.4081/ejh.2017.2763,2017," European Journal of Histochemistry 61, 145153 (2017)",ax2505,1,,,,,,Axol Biosciences Cardiomyocyte Maintenance Media,FBS,,,,,,,,,,Gelatin,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,Axol Biosciences Cardiomyocyte Maintenance Media,,,,,,,,,Q4,,,,,,,,,,,,,,,,
"Drawnel, F. M. et al. Disease modeling and phenotypic drug screening for diabetic cardiomyopathy using human induced pluripotent stem cells. Cell Rep 9, (2014).", Disease modeling and phenotypic drug screening for diabetic cardiomyopathy using human induced pluripotent stem cells,,https://doi.org/10.1016/j.celrep.2014.09.055,2014," Cell Rep 9, (2014)",CDI-MRB,1,,,,,,DMEM no glucose,HEPES,,,,,,,Flow cytometry for cTnT+,90,,,Yes,"L-carnitine, creatine, taurine, nonessential amino acids, insulin-transferrin-selenium, linoleic-oleic acid",,,,,,,,Fibronectin-coated plastic/glass,,,,,,,,Yes,TEM,Yes,1.015,700,,Impedance monitoring,,,,Calcium 5 kit,,,,,,Patch clamp,14,,,,Gene expression,,"PCR, RNA-seq",,Diabetic cardiomyopathy,,,,2D Only,,,1,Q3,1,Q3,,,,,,Q3,DMEM no glucose,,,,,,,,,Q5,Q3,,,,,,,,,Q3,,,,,,
"Bedada, F. B. et al. Acquisition of a quantitative, stoichiometrically conserved ratiometric marker of maturation status in stem cell-derived cardiac myocytes. Stem Cell Reports 3, (2014)."," Acquisition of a quantitative, stoichiometrically conserved ratiometric marker of maturation status in stem cell-derived cardiac myocytes",,https://doi.org/10.1016/j.stemcr.2014.07.012,2014," Stem Cell Reports 3, (2014)","DF 19-9-11, IPLZ3.13, IBO5.57, hc, 13FLVN0C1",5,"Male, NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN, NaN",Matrigel,"mTeSR1, TeSR-E8",,RPMI-1640,B27,"Activin A, BMP4, bFGF, CHIR-99021",0-3,"IWP4,  IWR2",3-Jul,,,,,,,Yes,T3,,,,,,,,"Matrigel-coated plastic, poly-D-lysine or poly-Dlysine plus cardiac-matrix coated glass",,,,,,,,Yes,,Yes,,,,Gene expression,,,,,,,,,,,,,,,,,PCR,Thyroid hormone (T3),,,,,2D Only,,,3,Q1,4,Q1,5,,,,,,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Lian, X. et al. Robust cardiomyocyte differentiation from human pluripotent stem cells via temporal modulation of canonical Wnt signaling. Proceedings of the National Academy of Sciences 109, (2012).", Robust cardiomyocyte differentiation from human pluripotent stem cells via temporal modulation of canonical Wnt signaling,,https://doi.org/10.1073/pnas.1200250109,2012," Proceedings of the National Academy of Sciences 109, (2012)",IMR90C4,1,Female,,"Matrigel, Synthemax plates",mTeSR1,,RPMI-1640,"FBS, B27","Activin A, BMP4",0-3,"IWP4,  IWR2",3-May,,,Flow cytometry for cTnT+,87,,,,,,,,,,,,Matrigel-coated or  Synthemax-coated plastic,,,,,,,,Yes,TEM,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,2D Only,,,3,Q1,2,Q2,1,,,,,Q3,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Dai, D.F. et al. Mitochondrial maturation in human pluripotent stem cell derived cardiomyocytes. Stem Cells International (2017).", Mitochondrial maturation in human pluripotent stem cell derived cardiomyocytes,,https://doi.org/10.1155/2017/5153625,2017," Stem Cells International, (2017)",IMR90,1,Female,,Matrigel,mTeSR,,RPMI-1640,"B27, L-glutamine","Activin A, BMP4",,,,,,,90,,PEI-gelatin,Yes,L-glutamine,,,,,,,,"Matrigel-coated plastic, PEI-gelatin coated plastic",,,,,,,,Yes,TEM,Yes,,2400,,,,,,,,,,,,,,,,,"Mitochondria staining, mitochondrial respiratory complex activity",,,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,Q3,RPMI-1640,,,,,,,,,,Q2,,,,,,,,,,,,,,,
"Lopez, C.A. et al. Physiological and pharmacological stimulation for in vitro maturation of substrate metabolism in human induced pluripotent stem cell-derived cardiomyocytes. Scientific Reports 11, (2021).", Physiological and pharmacological stimulation for in vitro maturation of substrate metabolism in human induced pluripotent stem cell-derived cardiomyocytes,,https://doi.org/10.1038/s41598-021-87186-y,2021," Scientific Reports 11, (2021)",OX1-19,1,Male,,Matrigel,mTeSR1,,RPMI-1640,B27,"Activin A, CHIR-99021",,"IWP4, Wnt-C59",,,,,,,,,,,,,,,,,Matrigel-coated plastic,"Collagen, Collagen+C4S, Collagen+elastin",,,,,,,Yes,SEM,,,,,,,,,,,,,,,,,,,,"Clark-type oxygen electrode, MitoTracker staining",,PCR,,,,,,2D and 3D,,,1,Q3,1,Q3,7,,,,,,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Sarikhani, M. et al. Sustained activation of AMPK enhances differentiation of human iPSC-derived cardiomyocytes via sirtuin activation. Stem Cell Reports 15, (2020).", Sustained activation of AMPK enhances differentiation of human iPSC-derived cardiomyocytes via sirtuin activation,GSE152265 (ATAC),https://doi.org/10.1016/j.stemcr.2020.06.012,2020," Stem Cell Reports 15, (2020)","BJ RiPS-A, UCSD142i-86-1",2,"NaN, NaN","NaN, NaN",,StemFlex,70,RPMI-1640,B27,CHIR99021,,IWP4,,,,Flow cytometry for TNNT2+,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seahorse, metabolic assays",,"PCR, ATAC-Seq","AICAR, compound C, nicotinamide (NAM), trichostatin A (TSA)",,,,,2D and 3D,,,1,Q3,1,Q3,7,,,,,Q5,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Hidalgo, A. et al. Modelling ischemia-reperfusion injury (IRI) in vitro using metabolically matured induced pluripotent stem cell-derived cardiomyocytes. APL bioengineering 2, (2018).", Modelling ischemia-reperfusion injury (IRI) in vitro using metabolically matured induced pluripotent stem cell-derived cardiomyocytes,,https://doi.org/10.1063/1.5000746,2018," APL bioengineering 2, (2018)",C32,1,,,Matrigel,mTeSR,100,RPMI-1640,B27,CHIR99021,,IWP4,,,,,,DMEM no glucose+FCS,,Yes,"Galactose, palmitic acid,  oleic acid",,,,,,,, Matrigel-coated plastic,,,,,,,,,,,,,,,,,,,,,,,,Patch clamping,,,,,Gene expression,,PCR,,Ischemia-reperfusion injury,,,,2D Only,100,,1,Q3,1,Q3,3,,,,,,DMEM no glucose+FCS,,,,,,,,,,,,,,,,,,,,,,,,,
"Yang, X. et al. Tri-iodo-l-thyronine promotes the maturation of human cardiomyocytes-derived from induced pluripotent stem cells. Journal of Molecular and Cellular Cardiology 72, (2014).", Tri-iodo-l-thyronine promotes the maturation of human cardiomyocytes-derived from induced pluripotent stem cells,,https://doi.org/10.1016/j.yjmcc.2014.04.005,2014," Journal of Molecular and Cellular Cardiology 72, (2014)",IMR90,1,Female,,,Mouse embryonic fibroblast-conditioned medium,,RPMI-1640,B27,"Activin A, BMP4,  CHIR99021",,XAV939,,,,Flow cytometry for cTnT+,80,,,Yes,T3,,,,,,,,,,,,,,,,,,,1.73,1000,,,10,,,,0.2,,,,,,,,,,Seahorse,,,"Hormone stimulation, T3",,,,,2D and 3D,,,1,Q3,1,Q3,,,,,,Q4,RPMI-1640,,,,,,,,,Q4,Q3,Q1,,,Q5,,,,,,,,,,,
"Funakoshi, S. et al. Generation of mature compact ventricular cardiomyocytes from human pluripotent stem cells. Nature Communications 12, (2021).", Generation of mature compact ventricular cardiomyocytes from human pluripotent stem cells,GSE152589 (MAT),https://doi.org/10.1038/s41467-021-23329-z,2021," Nature Communications 12, (2021)","HES2, ESI-17",2,"NaN, NaN","NaN, NaN",,StemPro-34 media,,DMEM high glucose,"IGF2, human insulin","Activin A, BMP4, bFGF",,IWP2,,,,,,DMEM low glucose,Polyheme,Yes,"Palmitic acid, Dexamethazone, T3 hormone, GW7647,  Palmitate",,,,,,,,,,,,,,,,,TEM,Yes,2.1,3500,,,,7,,0.4,,,0.065,0.2,,,,,,,Seahorse,,"RNA-seq, PCR"," T3 hormone, GW7647 ",,37.4,38.7,15.9,2D and 3D,,,1,Q3,1,Q3,10,,,,,,DMEM low glucose,,,,,,,,,Q1,Q1,,Q1,,,,Q5,Q2,,,,,,Q2,Q1,Q2
"Bekhite, M. et al. The role of ceramide accumulation in human induced pluripotent stem cell-derived cardiomyocytes on mitochondrial oxidative stress and mitophagy. Free Radical Biology and Medicine 167, (2021).", The role of ceramide accumulation in human induced pluripotent stem cell-derived cardiomyocytes on mitochondrial oxidative stress and mitophagy,,https://doi.org/10.1016/j.freeradbiomed.2021.02.016,2021," Free Radical Biology and Medicine 167, (2021)","wt2, wt1",2,"Female, Male","NaN, NaN",Matrigel,Essential 8 medium,,RPMI-1640,B27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D and 3D,,,1,Q3,1,Q3,,,,,,,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Granéli, C. et al. Diabetic cardiomyopathy modelling using induced pluripotent stem cell derived cardiomyocytes: recent advances and emerging models. Stem Cell Reviews and Reports 15, (2019).", Diabetic cardiomyopathy modelling using induced pluripotent stem cell derived cardiomyocytes: recent advances and emerging models,,https://doi.org/10.1007/s12015-018-9858-1,2019," Stem Cell Reviews and Reports 15, (2019)",CDI-MRB,1,,,,,,DMEM no glucose,"HEPES, glucose",,,,,,,,,DMEM no glucose,,Yes,"L-carnitine, creatine, taurine, nonessential amino acids, insulin-transferrin-selenium, 2*linoleic-oleic acid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diabetic cardiomyopathy,,,,2D and 3D,,,1,Q3,1,Q3,,,,,,,DMEM no glucose,,,,,,,,,,,,,,,,,,,,,,,,,
"Birket, M. J. et al. A Human Stem Cell Model of Fabry Disease Implicates LIMP-2 Accumulation in Cardiomyocyte Pathology. Stem Cell Reports 13, 380393 (2019).", A Human Stem Cell Model of Fabry Disease Implicates LIMP-2 Accumulation in Cardiomyocyte Pathology,,https://doi.org/10.1016/j.stemcr.2019.07.004,2019," Stem Cell Reports 13, 380393 (2019)",in-house (4),4,,,Matrigel,mTeSR,,DMEM/F12,"Bovine Serum Albumin, Creatine, Taurine, L-carnitine, ?-MTG, AA-2P, 1x Trace Elements A, B and C, 1x Chemically Defined Lipids, 1x Glutamax, 0.5x pen/strep and Thiazovivin, plus the addition of 1% FCS","CHIR99021, BMP4",0-2,"Wnt-C59, bFGF",2-Apr,Cell sorting,,Flow cytometry for SIRPA+,96,DMEM/F12,Matrigel,Yes,"T3, dexamethasone, palmitic acid",,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,1800,,,,,,Dye,,,,,,Patch clamp,16,100,-70,,,,Proteomics,caffeine,Fabry disease,,,,2D Only,,,2,Q2,2,Q2,2,,,,,Q1,DMEM/F12,,,,,,,,,,Q3,,,,,,,,,Q3,Q3,Q3,,,,
"Gentillon, C. et al. Targeting HIF-1? in combination with PPAR? activation and postnatal factors promotes the metabolic maturation of human induced pluripotent stem cell-derived cardiomyocytes. Journal of molecular and cellular cardiology 132, 120-135 (2019).", Targeting HIF-1? in combination with PPAR? activation and postnatal factors promotes the metabolic maturation of human induced pluripotent stem cell-derived cardiomyocytes,,https://doi.org/10.1016/j.yjmcc.2019.05.003,2019," Journal of molecular and cellular cardiology 132, 120-135 (2019)",IMR-90,1,Female,,Matrigel,mTeSR,80,RPMI-1640,B27,Recombinant human activin A,0-1,Recombinant human bone morphogenic protein-4,1-Apr,,,,,DMEM,,Yes,"Oleic acid, FM19G11 (FM), WY-14643 (WY), triiodo-L-thyronine (T3), insulin-like growth factor-I (IGF-1), dexamethasone",,,,,,,,,,,,,,,,Yes,,,,,,,,,, Fluo-4 ,0.6,,140,,,,,,,,Seahorse,Yes,"RNA-seq, PCR",,,,,,2D and 3D,,,1,Q3,3,Q1,4,,,,,,DMEM,,,,,,,,,,,,,,Q4,,Q5,,,,,,,,,
"Poon, E. et al. Proteomic analysis of human pluripotent stem CellDerived, fetal, and adult ventricular cardiomyocytes reveals pathways crucial for cardiac metabolism and maturation. Circulation 8(3), 427-436 (2015)."," Proteomic analysis of human pluripotent stem CellDerived, fetal, and adult ventricular cardiomyocytes reveals pathways crucial for cardiac metabolism and maturation",,https://doi.org/10.1161/CIRCGENETICS.114.000918,2015," Circulation 8(3), 427-436 (2015)",hES2,1,,,Matrigel,mTeSR,,DMEM,"nonessential amino acids, glutamine, penicillin, streptomycin",Bone morphogenetic protein 4,0-1,Bone morphogenetic protein 4,1-Apr,,,,,DMEM/F12,,Yes,T3,,,,,,,,,,,,,,,,Yes,,,,,,Contractile Force in HumanVentricular Cardiac Microtissues,,,,,,,,,,Measurements of Action Potential,,,,,Mitochondrial MembranePotential,,PCR,,,,,,2D and 3D,,,1,Q3,3,Q1,,,,,,,DMEM/F12,,,,,,,,,,,,,,,,,,,,,,,,,
"Fetterman, K. et al . Independent compartmentalization of functional, metabolic, and transcriptional maturation of hiPSC-derived cardiomyocytes. Cell reports, 43(5), (2024).","Independent compartmentalization of functional, metabolic, and transcriptional maturation of hiPSC-derived cardiomyocytes",GSE244962,https://doi.org/10.1016/j.celrep.2024.114160,2024,"Cell reports, 43(5), (2024)","19c3 (M), 21c10 (F), 22c10 (M), 23c9 (M), 25c3 (M), 26c3 (M), GW124c9 (M), GW132c2B (F)",8,Male (6) Female(2),,Matrigel (growth factor-reduced),B8 medium,75,RPMI 1640,"BSA, Ascorbic Acid, Insulin",CHIR99021,0-2,Wnt-C59,2-Mar,TNNT2+ selection using neomycin resistance cassette,8-Dec,,,MMc (Maturation Media with galactose and fatty acids),Matrigel,Yes,"Galactose, Fatty Acids (palmitate, oleate), Taurine, Carnitine, Creatine",,,,,,,,Matrigel,,,,,MMc,,,,,,,,,Impedance assays,,,,Ca²? transient imaging (Cal-520 dye),,,,,,Patch-clamp,,94.21,-68.14,,Seahorse XF96 (OCR measurement),,RNA-seq and RNA-sequencing,,,,,,2D Only,75,,2,Q2,1,Q3,4,,,4,Q2,,MMc (Maturation Media with galactose and fatty acids),,,,,,,,,,,,,,,,,,,,Q4,Q3,,,,
"Min, S. et al . Versatile human cardiac tissues engineered with perfusable heart extracellular microenvironment for biomedical applications. Nature communications, 15(1), p.2564, (2024).",Versatile human cardiac tissues engineered with perfusable heart extracellular microenvironment for biomedical applications,GSE231493,https://doi.org/10.1038/s41467-024-46928-y,2024,"Nature communications, 15(1), p.2564, (2024)",specific line not named,,,,Heart extracellular matrix (HEM) hydrogel from decellularized porcine heart tissue,,,A mixture of cardiomyocyte (CM) and endothelial cell (EC) media (1:1 ratio),,,,,,,,"Immunofluorescent imaging of cardiac markers (e.g., cTnT for cardiomyocytes, CD31 for endothelial cells, VIM for cardiac fibroblasts)",,Heart extracellular matrix (HEM) hydrogel-based culture system,,,,,,"Yes, co-culture with endothelial cells (ECs) and cardiac fibroblasts (CFs)",,,,"Yes, decellularized porcine heart extracellular matrix (HEM)",,Microfluidic chip with heart extracellular matrix (HEM) hydrogel,"Cardiomyocytes (CMs), endothelial cells (ECs), cardiac fibroblasts (CFs)",Cardiac fibroblasts (CFs),Human umbilical vein endothelial cells (HUVECs),"Mixture,of,CM,and,EC,media",,,"Yes (e.g., cTnT, CD31, VIM markers)","Yes, scanning electron microscopy (SEM)",Yes,1.87,,,Contraction analysis via MuscleMotion software,,,,Fluorescent Ca²? imaging using Fluo-4,,76.59,,,,Multi-electrode array (MEA) measurements,,,,,,,RNA sequencing (RNA-seq) and qPCR,"Epinephrine, isoproterenol, nifedipine, E-4031, vandetanib, bepridil, quinidine, chlorpromazine, terfenadine, clarithromycin, diltiazem, ranolazine","Long QT Syndrome (LQTS), cardiac fibrosis, myocardial infarction",,,,3D Only,,,1,Q3,1,Q3,,,,,,,Heart extracellular matrix (HEM) hydrogel-based culture system,,,,,,,,,Q3,,,,,,Q1,,,,,,,,,,
"Friedman, C. et al . HOPX-associated molecular programs control cardiomyocyte cell states underpinning cardiac structure and function. Developmental Cell, 59(1), pp.91-107, (2024).",HOPX-associated molecular programs control cardiomyocyte cell states underpinning cardiac structure and function,"GSE7611822, GSE100471, GSE166813",https://doi.org/10.1016/j.devcel.2023.11.012,2024,"Developmental Cell, 59(1), pp.91-107, (2024)",WTC CRISPRi GCaMP hiPSCs,1,,,Vitronectin XF,mTeSR Plus,80,RPMI 1640,"B27, Ascorbic Acid, BSA",CHIR99021,0-3,XAV-939,3-May,,,Flow Cytometry,,RPMI + B27,Vitronectin XF,Yes,Fatty Acid Metabolism,,,Present in 3D models,,,,,Vitronectin XF-coated plates,Cardiac Organoids,"Cardiomyocytes, Stromal Cells",,,"RPMI,B27",,,Yes,,Yes,,,,MUSCLEMOTION ImageJ Plugin,,,,FLIPR Calcium 4 dye,,,350,,,,,,,,ATP production,Yes,"qRT-PCR, CAGE-Sequencing",Noradrenaline,Ischemia-reperfusion Injury,,,,2D and 3D,,,3,Q1,2,Q2,7,,,,,,RPMI + B27,,,,,,,,,,,,,,,,Q2,,,,,,,,,
